periodo;trm;dia;primera_dif;segunda_dif;trans_max_min;estanrazicacion z;trans_max_min;1dif;y_t;y_t-1;y_t-2;y_t-3;m1;m2;m3
33926;730,11;miércoles;6,04;6,04;0,430092853;0,296935773;0,024656633;0,00136018;6,04;0;1,35;-1;0,675;0,116666667;0,425
33927;724,97;jueves;-5,14;0,9;0,400176608;-0,287038128;0,02349913;-0,001157504;-5,14;6,04;0;1,35;3,02;2,463333333;1,5975
33928;724,9;viernes;-0,07;-5,21;0,413743277;-0,022212754;0,023483366;-1,57637E-05;-0,07;-5,14;6,04;0;0,45;0,3;0,5625
33931;721,98;lunes;-2,92;-2,99;0,406117043;-0,171079089;0,022825796;-0,00065757;-2,92;-0,07;-5,14;6,04;-2,605;0,276666667;0,2075
33932;726,97;martes;4,99;2,07;0,427283187;0,242090281;0,02394952;0,001123725;4,99;-2,92;-0,07;-5,14;-1,495;-2,71;-0,5225
33933;720,63;miércoles;-6,34;-1,35;0,396965562;-0,34971869;0,022521782;-0,001427738;-6,34;4,99;-2,92;-0,07;1,035;0,666666667;-0,785
33934;721,47;jueves;0,84;-5,5;0,41617832;0,025320005;0,022710946;0,000189164;0,84;-6,34;4,99;-2,92;-0,675;-1,423333333;-1,085
33935;722,61;viernes;1,14;1,98;0,416981082;0,040990145;0,022967669;0,000256723;1,14;0,84;-6,34;4,99;-2,75;-0,17;-0,8575
33938;725,45;lunes;2,84;3,98;0,421530063;0,129787608;0,023607223;0,000639555;2,84;1,14;0,84;-6,34;0,99;-1,453333333;0,1575
33939;729,42;martes;3,97;6,81;0,424553798;0,188811804;0,024501249;0,000894025;3,97;2,84;1,14;0,84;1,99;1,606666667;-0,38
33940;725,75;miércoles;-3,67;0,3;0,404110139;-0,21025444;0,023674782;-0,000826467;-3,67;3,97;2,84;1,14;3,405;2,65;2,1975
33941;729,74;jueves;3,99;0,32;0,424607316;0,18985648;0,024573311;0,000898529;3,99;-3,67;3,97;2,84;0,15;1,046666667;1,07
33942;738,19;viernes;8,45;12,44;0,436541703;0,422819234;0,026476211;0,0019029;8,45;3,99;-3,67;3,97;0,16;1,43;1,7825
33945;736,29;lunes;-1,9;6,55;0,408846432;-0,117800611;0,02604834;-0,000427871;-1,9;8,45;3,99;-3,67;6,22;2,923333333;3,185
33946;732,11;martes;-4,18;-6,08;0,402745444;-0,236893678;0,025107024;-0,000941316;-4,18;-1,9;8,45;3,99;3,275;3,513333333;1,7175
33947;732,11;miércoles;0;-4,18;0,413930588;-0,018556388;0,025107024;0;0;-4,18;-1,9;8,45;-3,04;0,79;1,59
33948;732,4;jueves;0,29;0,29;0,414706591;-0,003408586;0,025172331;6,53066E-05;0,29;0;-4,18;-1,9;-2,09;-2,026666667;0,5925
33949;727,21;viernes;-5,19;-4,9;0,400042814;-0,289649818;0,024003567;-0,001168764;-5,19;0,29;0;-4,18;0,145;-1,296666667;-1,4475
33952;729,8;lunes;2,59;-2,6;0,420861096;0,116729158;0,024586823;0,000583256;2,59;-5,19;0,29;0;-2,45;-1,633333333;-2,27
33953;732,69;martes;2,89;5,48;0,421663857;0,132399298;0,025237637;0,000650814;2,89;2,59;-5,19;0,29;-1,3;-0,77;-0,5775
33954;736,2;miércoles;3,51;6,4;0,423322897;0,164784255;0,026028073;0,000790436;3,51;2,89;2,59;-5,19;2,74;0,096666667;0,145
33955;734,98;jueves;-1,22;2,29;0,410666024;-0,082281626;0,025753335;-0,000274738;-1,22;3,51;2,89;2,59;3,2;2,996666667;0,95
33956;732,54;viernes;-2,44;-3,66;0,407401461;-0,146006864;0,025203858;-0,000549477;-2,44;-1,22;3,51;2,89;1,145;1,726666667;1,9425
33959;735,31;lunes;2,77;0,33;0,421342752;0,126131242;0,025827649;0,000623791;2,77;-2,44;-1,22;3,51;-1,83;-0,05;0,685
33960;736,82;martes;1,51;4,28;0,417971154;0,060316652;0,026167694;0,000340045;1,51;2,77;-2,44;-1,22;0,165;-0,296666667;0,655
33961;735;miércoles;-1,82;-0,31;0,409060501;-0,113621907;0,025757838;-0,000409855;-1,82;1,51;2,77;-2,44;2,14;0,613333333;0,155
33962;735,19;jueves;0,19;-1,63;0,414439004;-0,008631966;0,025800626;4,27871E-05;0,19;-1,82;1,51;2,77;-0,155;0,82;0,005
33963;735,19;viernes;0;0,19;0,413930588;-0,018556388;0,025800626;0;0;0,19;-1,82;1,51;-0,815;-0,04;0,6625
33966;735,19;lunes;0;0;0,413930588;-0,018556388;0,025800626;0;0;0;0,19;-1,82;0,095;-0,543333333;-0,03
33967;737,44;martes;2,25;2,25;0,419951299;0,098969665;0,026307315;0,000506689;2,25;0;0;0,19;0;0,063333333;-0,4075
33968;737,98;miércoles;0,54;2,79;0,415375559;0,009649865;0,02642892;0,000121605;0,54;2,25;0;0;1,125;0,75;0,61
33969;737,98;jueves;0;0,54;0,413930588;-0,018556388;0,02642892;0;0;0,54;2,25;0;1,395;0,93;0,6975
33970;737,98;viernes;0;0;0,413930588;-0,018556388;0,02642892;0;0;0;0,54;2,25;0,27;0,93;0,6975
33973;737,98;lunes;0;0;0,413930588;-0,018556388;0,02642892;0;0;0;0;0,54;0;0,18;0,6975
33974;737,55;martes;-0,43;-0,43;0,412779963;-0,041016923;0,026332087;-9,6834E-05;-0,43;0;0;0;0;0;0,135
33975;738,65;miércoles;1,1;0,67;0,416874047;0,038900793;0,026579801;0,000247715;1,1;-0,43;0;0;-0,215;-0,143333333;-0,1075
33976;740,08;jueves;1,43;2,53;0,417757084;0,056137948;0,026901831;0,000322029;1,43;1,1;-0,43;0;0,335;0,223333333;0,1675
33977;742,61;viernes;2,53;3,96;0,420700543;0,113595129;0,027471575;0,000569744;2,53;1,43;1,1;-0,43;1,265;0,7;0,525
33980;746,63;lunes;4,02;6,55;0,424687592;0,191423494;0,02837686;0,000905285;4,02;2,53;1,43;1,1;1,98;1,686666667;1,1575
33981;746,63;martes;0;4,02;0,413930588;-0,018556388;0,02837686;0;0;4,02;2,53;1,43;3,275;2,66;2,27
33982;749,63;miércoles;3;3;0,421958203;0,138145016;0,029052446;0,000675586;3;0;4,02;2,53;2,01;2,183333333;1,995
33983;748,98;jueves;-0,65;2,35;0,412191271;-0,052508359;0,028906069;-0,000146377;-0,65;3;0;4,02;1,5;2,34;2,3875
33984;746,71;viernes;-2,27;-2,92;0,407856359;-0,137127118;0,028394875;-0,000511193;-2,27;-0,65;3;0;1,175;0,783333333;1,5925
33987;746,39;lunes;-0,32;-2,59;0,413074309;-0,035271205;0,028322813;-7,20625E-05;-0,32;-2,27;-0,65;3;-1,46;0,026666667;0,02
33988;747,2;martes;0,81;0,49;0,416098044;0,023752991;0,028505221;0,000182408;0,81;-0,32;-2,27;-0,65;-1,295;-1,08;-0,06
33989;748,07;miércoles;0,87;1,68;0,416258596;0,026887019;0,028701141;0,00019592;0,87;0,81;-0,32;-2,27;0,245;-0,593333333;-0,6075
33990;750,06;jueves;1,99;2,86;0,419255573;0,085388877;0,02914928;0,000448139;1,99;0,87;0,81;-0,32;0,84;0,453333333;-0,2275
33991;750;viernes;-0,06;1,93;0,413770036;-0,021690416;0,029135768;-1,35117E-05;-0,06;1,99;0,87;0,81;1,43;1,223333333;0,8375
33994;748,56;lunes;-1,44;-1,5;0,410077333;-0,093773062;0,028811487;-0,000324281;-1,44;-0,06;1,99;0,87;0,965;0,933333333;0,9025
33995;747,25;martes;-1,31;-2,75;0,410425196;-0,086982668;0,028516481;-0,000295006;-1,31;-1,44;-0,06;1,99;-0,75;0,163333333;0,34
33996;747,13;miércoles;-0,12;-1,43;0,413609483;-0,024824444;0,028489457;-2,70234E-05;-0,12;-1,31;-1,44;-0,06;-1,375;-0,936666667;-0,205
33997;746,21;jueves;-0,92;-1,04;0,411468786;-0,066611486;0,028282278;-0,00020718;-0,92;-0,12;-1,31;-1,44;-0,715;-0,956666667;-0,7325
33998;745,14;viernes;-1,07;-1,99;0,411067405;-0,074446556;0,028041319;-0,000240959;-1,07;-0,92;-0,12;-1,31;-0,52;-0,783333333;-0,9475
34001;746,05;lunes;0,91;-0,16;0,416365631;0,028976371;0,028246247;0,000204928;0,91;-1,07;-0,92;-0,12;-0,995;-0,703333333;-0,855
34002;745,27;martes;-0,78;0,13;0,411843408;-0,059298753;0,028070594;-0,000175652;-0,78;0,91;-1,07;-0,92;-0,08;-0,36;-0,3
34003;745,64;miércoles;0,37;-0,41;0,41492066;0,000770118;0,028153916;8,33223E-05;0,37;-0,78;0,91;-1,07;0,065;-0,313333333;-0,465
34004;745,73;jueves;0,09;0,46;0,414171416;-0,013855346;0,028174184;2,02676E-05;0,09;0,37;-0,78;0,91;-0,205;0,166666667;-0,1425
34005;745,79;viernes;0,06;0,15;0,41409114;-0,01542236;0,028187696;1,35117E-05;0,06;0,09;0,37;-0,78;0,23;-0,106666667;0,1475
34008;746,56;lunes;0,77;0,83;0,415991009;0,021663639;0,028361096;0,0001734;0,77;0,06;0,09;0,37;0,075;0,173333333;-0,065
34009;745,45;martes;-1,11;-0,34;0,41096037;-0,076535908;0,028111129;-0,000249967;-1,11;0,77;0,06;0,09;0,415;0,306666667;0,3225
34010;745,49;miércoles;0,04;-1,07;0,414037623;-0,016467036;0,028120137;9,00781E-06;0,04;-1,11;0,77;0,06;-0,17;-0,093333333;-0,0475
34011;745,38;jueves;-0,11;-0,07;0,413636242;-0,024302106;0,028095366;-2,47715E-05;-0,11;0,04;-1,11;0,77;-0,535;-0,1;-0,06
